City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
178,Carutapera,-1.195,-46.02,78.75,81,7,7.85,BR,clear sky
179,Lata,40.1629,-8.3327,59.92,77,19,4.52,PT,few clouds
180,Antalaha,-14.9003,50.2788,64.42,83,35,5.61,MG,scattered clouds
181,Crossville,35.949,-85.0269,46.09,56,0,6.91,US,clear sky
182,Lockhart,28.6194,-81.4426,75.29,93,40,0.0,US,scattered clouds
183,Palafrugell,41.9174,3.1631,70.43,56,44,4.23,ES,scattered clouds
184,Aksu,41.1231,80.2644,52.07,24,77,2.75,CN,broken clouds
185,Marrakesh,31.6315,-8.0083,73.47,56,0,3.44,MA,clear sky
186,Paris,48.8534,2.3488,63.09,96,100,3.44,FR,fog
187,Tayu,-6.5397,111.0518,81.63,76,100,6.46,ID,light rain
188,Mitsamiouli,-11.3847,43.2844,74.5,81,6,7.74,KM,clear sky
189,Dingle,10.9995,122.6711,81.73,78,100,9.98,PH,overcast clouds
190,Millinocket,45.6573,-68.7098,51.91,87,75,0.0,US,broken clouds
191,Provideniya,64.3833,-173.3,33.91,75,100,11.18,RU,overcast clouds
192,Cabo San Lucas,22.8909,-109.9124,82.62,69,40,2.3,MX,scattered clouds
193,Muscat,23.6139,58.5922,75.22,40,100,3.6,OM,overcast clouds
194,Kruisfontein,-34.0033,24.7314,56.88,92,11,4.7,ZA,few clouds
195,Los Llanos De Aridane,28.6585,-17.9182,65.95,64,40,8.05,ES,scattered clouds
196,Kavaratti,10.5669,72.642,77.77,91,100,19.13,IN,overcast clouds
197,Aranda De Duero,41.6704,-3.6892,57.56,69,4,8.68,ES,clear sky
198,Meulaboh,4.1363,96.1285,77.67,81,99,3.42,ID,overcast clouds
199,Port Elizabeth,-33.918,25.5701,63.32,92,75,8.05,ZA,broken clouds
200,Tuatapere,-46.1333,167.6833,50.85,60,88,14.56,NZ,overcast clouds
201,Kargopol,61.5071,38.9456,41.07,84,71,9.04,RU,broken clouds
202,Kirillov,59.863,38.3813,45.39,83,100,9.71,RU,overcast clouds
203,Salinas,36.6777,-121.6555,72.28,64,0,11.5,US,clear sky
204,Ganzhou,28.8184,115.4327,64.53,31,0,12.41,CN,clear sky
205,Faanui,-16.4833,-151.75,77.68,79,37,16.13,PF,light rain
206,Narsaq,60.9167,-46.05,30.42,73,100,5.23,GL,overcast clouds
207,San Pedro,14.35,121.0167,87.31,73,40,2.3,PH,scattered clouds
208,Moose Factory,51.2585,-80.6094,44.6,93,100,13.8,CA,mist
209,Karratha,-20.7377,116.8463,81.37,23,5,23.31,AU,clear sky
210,Fort William,56.8165,-5.1121,46.31,95,50,2.46,GB,scattered clouds
211,Scarborough,54.2797,-0.4044,52.79,82,13,7.0,GB,few clouds
212,Salalah,17.0151,54.0924,75.29,57,0,3.44,OM,clear sky
213,Newton Abbot,50.5286,-3.6119,54.57,96,0,2.39,GB,clear sky
214,Oranjestad,12.524,-70.027,84.15,83,20,12.66,AW,few clouds
215,Vagur,61.4732,-6.8119,46.27,81,100,23.2,FO,overcast clouds
216,Panguiranan,12.0699,123.3185,82.76,77,99,11.14,PH,overcast clouds
217,Mirador,-6.3708,-44.3631,78.84,38,1,2.53,BR,clear sky
218,Lebu,-37.6167,-73.65,53.24,96,100,6.82,CL,overcast clouds
219,Warrington,53.3925,-2.5802,51.91,87,32,3.44,GB,scattered clouds
220,Maldonado,-34.6667,-54.9167,58.39,82,98,11.61,UY,overcast clouds
221,Anadyr,64.75,177.4833,19.9,85,0,6.71,RU,clear sky
222,Pokhara,28.2333,83.9833,60.04,47,0,6.22,NP,clear sky
223,Lagoa,39.05,-27.9833,62.38,57,100,27.34,PT,light rain
224,Bumba,2.1833,22.4667,69.37,91,86,2.15,CD,overcast clouds
225,Alice Springs,-23.7,133.8833,71.15,64,100,18.41,AU,overcast clouds
226,Bowen,-20.0167,148.2333,79.25,70,98,13.06,AU,overcast clouds
227,Ilulissat,69.2167,-51.1,39.22,93,100,2.3,GL,light intensity shower rain
228,Thalgau,47.8333,13.25,54.32,93,9,9.22,AT,clear sky
229,Torbay,47.6666,-52.7314,59.58,97,40,3.44,CA,fog
230,Mahajanga,-15.7167,46.3167,71.62,68,20,5.75,MG,few clouds
231,Cockburn Town,21.4612,-71.1419,81.7,75,1,10.83,TC,clear sky
232,Kichera,55.9375,110.0997,28.17,61,100,3.27,RU,overcast clouds
233,Asau,46.4333,26.4,38.32,74,6,3.76,RO,clear sky
234,Fethiye,36.6217,29.1164,71.47,67,57,9.53,TR,broken clouds
235,Trinidad,-14.8333,-64.9,77.49,79,92,3.24,BO,overcast clouds
236,San Juan Del Sur,11.2529,-85.8705,78.1,82,100,2.64,NI,overcast clouds
237,Latung,5.5,120.8833,81.99,73,100,1.52,PH,overcast clouds
238,Nagato,34.3833,131.2,60.89,76,100,22.15,JP,overcast clouds
239,Dwarka,22.2394,68.9678,80.98,65,11,7.34,IN,few clouds
240,Touros,-5.1989,-35.4608,77.56,79,14,16.64,BR,few clouds
241,Juneau,58.3019,-134.4197,53.6,94,20,10.36,US,fog
242,Usinsk,65.9939,57.5281,41.99,94,100,17.72,RU,light rain
243,Wanning,18.8003,110.3967,67.15,88,100,18.9,CN,overcast clouds
244,Ampanihy,-24.7,44.75,67.17,81,4,7.18,MG,clear sky
245,Shwebo,22.5667,95.7,76.08,87,81,3.56,MM,broken clouds
